iteration,timestamp,P78,P79,T41,J20,J20D,J20B,J21,J21D,J21B,J14,J14D,J14B,J2,J2D,J2B,J13,J13D,J13B,J1,J1D,J1B,J3,J3D,J3B,J6,J6D,J6B,J15,J15D,J15B,J5,J5D,J5B,J19,J19D,J19B,T42,J4,J4D,J4B,J18,J18D,J18B,J12,J12D,J12B,J7,J7D,J7B,J8,J8D,J8B,J16,J16D,J16B,J17,J17D,J17B,J11,J11D,J11B,J10,J10D,J10B,J9,J9D,J9B,J22,J22D,J22B
1,2021-10-20 14:44:42.311456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2021-10-20 14:44:47.113812,1.0,0.0,3.479930877685547,85.98483276367188,0.0,0.0,54.36392593383789,0.0,0.0,54.42967987060547,37.569522857666016,37.56940841674805,58.75369644165039,15.02789306640625,15.027763366699219,59.050296783447266,37.56953811645508,37.56940841674805,85.97351837158203,37.56962966918945,37.56940841674805,56.484920501708984,15.027885437011719,15.027763366699219,43.18760681152344,45.08336639404297,45.083290100097656,54.27210998535156,37.569522857666016,37.56940841674805,43.29454803466797,45.08336639404297,45.083290100097656,54.4371337890625,75.13893127441406,75.1388168334961,3.0510001182556152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-10-20 14:44:52.402091,1.0,0.0,3.479930877685547,85.98483276367188,0.0,0.0,54.36392593383789,0.0,0.0,54.42967987060547,37.569522857666016,37.56940841674805,58.75369644165039,15.02789306640625,15.027763366699219,59.050296783447266,37.56953811645508,37.56940841674805,85.97351837158203,37.56962966918945,37.56940841674805,56.484920501708984,15.027885437011719,15.027763366699219,43.18760681152344,45.08336639404297,45.083290100097656,54.27210998535156,37.569522857666016,37.56940841674805,43.29454803466797,45.08336639404297,45.083290100097656,54.4371337890625,75.13893127441406,75.1388168334961,3.0480000972747803,55.07785415649414,45.08340835571289,45.083290100097656,55.20144271850586,37.56952667236328,37.56940841674805,56.38501739501953,37.56953048706055,37.56940841674805,43.30978775024414,45.08336639404297,45.083290100097656,44.64862060546875,30.05560874938965,30.055526733398438,33.12693786621094,30.055570602416992,30.055526733398438,33.00675582885742,75.13886260986328,75.1388168334961,33.00227355957031,30.05556869506836,30.055526733398438,32.65392303466797,30.05556869506836,30.055526733398438,32.219791412353516,30.055566787719727,30.055526733398438,33.006996154785156,0.0,0.0
4,2021-10-20 14:44:57.774349,1.0,0.0,3.833111047744751,85.99653625488281,0.0,0.0,54.77542495727539,0.0,0.0,54.82493591308594,37.56952667236328,37.56940841674805,58.97746658325195,15.02789306640625,15.027763366699219,59.26976013183594,37.569541931152344,37.56940841674805,85.98532104492188,37.56962966918945,37.56940841674805,56.69508361816406,15.027885437011719,15.027763366699219,43.33931350708008,45.083370208740234,45.083290100097656,54.483543395996094,37.569522857666016,37.56940841674805,43.455352783203125,45.083370208740234,45.083290100097656,54.72542953491211,75.13893127441406,75.1388168334961,3.0480000972747803,54.72683334350586,45.08340835571289,45.083290100097656,54.94106674194336,37.56952667236328,37.56940841674805,55.816978454589844,37.56953048706055,37.56940841674805,43.150306701660156,45.08336639404297,45.083290100097656,44.542057037353516,30.05560874938965,30.055526733398438,33.03742218017578,30.05556869506836,30.055526733398438,33.00301742553711,75.13886260986328,75.1388168334961,32.92595672607422,30.05556869506836,30.055526733398438,32.6130485534668,30.05556869506836,30.055526733398438,32.14680099487305,30.055566787719727,30.055526733398438,33.006961822509766,0.0,0.0
5,2021-10-20 14:45:04.142237,0.0,0.0,4.2051167488098145,81.08907318115234,0.0,0.0,55.323665618896484,0.0,0.0,55.337379455566406,37.56952667236328,37.56940841674805,58.07596969604492,15.0278902053833,15.027763366699219,58.30709457397461,37.56953811645508,37.56940841674805,81.08024597167969,37.56961441040039,37.56940841674805,56.13948059082031,15.027883529663086,15.027763366699219,43.23647689819336,45.08336639404297,45.083290100097656,54.498756408691406,37.569522857666016,37.56940841674805,43.32244873046875,45.083370208740234,45.083290100097656,54.73042678833008,75.13893127441406,75.1388168334961,3.0480000972747803,54.81516647338867,45.08340835571289,45.083290100097656,55.00098419189453,37.56952667236328,37.56940841674805,55.833187103271484,37.56953048706055,37.56940841674805,43.21434783935547,45.08336639404297,45.083290100097656,44.59912109375,30.05560874938965,30.055526733398438,33.09479904174805,30.055570602416992,30.055526733398438,33.0041618347168,75.13886260986328,75.1388168334961,32.93232345581055,30.05556869506836,30.055526733398438,32.62350845336914,30.05556869506836,30.055526733398438,32.18022155761719,30.055566787719727,30.055526733398438,33.00697326660156,0.0,0.0
6,2021-10-20 14:45:09.210658,0.0,0.0,4.2051167488098145,81.08907318115234,0.0,0.0,55.323665618896484,0.0,0.0,55.337379455566406,37.56952667236328,37.56940841674805,58.07596969604492,15.0278902053833,15.027763366699219,58.30709457397461,37.56953811645508,37.56940841674805,81.08024597167969,37.56961441040039,37.56940841674805,56.13948059082031,15.027883529663086,15.027763366699219,43.23647689819336,45.08336639404297,45.083290100097656,54.498756408691406,37.569522857666016,37.56940841674805,43.32244873046875,45.083370208740234,45.083290100097656,54.73042678833008,75.13893127441406,75.1388168334961,3.0480000972747803,42.25311279296875,45.08336639404297,45.083290100097656,41.528568267822266,37.569480895996094,37.56940841674805,40.33229064941406,37.56947708129883,37.56940841674805,30.110427856445312,45.08332443237305,45.083290100097656,31.357595443725586,30.05556297302246,30.055526733398438,20.042415618896484,30.055526733398438,30.055526733398438,18.774642944335938,72.80065155029297,75.1388168334961,18.494749069213867,28.90238380432129,30.055526733398438,18.43927001953125,28.85900115966797,30.055526733398438,18.337284088134766,28.779085159301758,30.055526733398438,18.774642944335938,0.0,0.0
7,2021-10-20 14:45:14.665550,0.0,0.0,3.0480000972747803,52.28382110595703,0.0,0.0,54.33601760864258,0.0,0.0,53.556522369384766,37.569522857666016,37.56940841674805,43.77998352050781,15.02784252166748,15.027763366699219,43.612003326416016,37.569488525390625,37.56940841674805,52.28382110595703,37.56951904296875,37.56940841674805,42.801753997802734,15.027839660644531,15.027763366699219,30.15806007385254,45.08332443237305,45.083290100097656,42.66813659667969,37.56948471069336,37.56940841674805,30.349822998046875,45.08332443237305,45.083290100097656,42.67926025390625,75.1388931274414,75.1388168334961,3.0480000972747803,42.25311279296875,45.08336639404297,45.083290100097656,41.528568267822266,37.569480895996094,37.56940841674805,40.33229064941406,37.56947708129883,37.56940841674805,30.110427856445312,45.08332443237305,45.083290100097656,31.357595443725586,30.05556297302246,30.055526733398438,20.042415618896484,30.055526733398438,30.055526733398438,18.774642944335938,72.80065155029297,75.1388168334961,18.494749069213867,28.90238380432129,30.055526733398438,18.43927001953125,28.85900115966797,30.055526733398438,18.337284088134766,28.779085159301758,30.055526733398438,18.774642944335938,0.0,0.0
8,2021-10-20 14:45:19.214472,0.0,0.0,3.0480000972747803,2.1353459445094813e-08,0.0,0.0,-9.144000053405762,0.0,0.0,-9.144000053405762,-3.058199945371598e-05,44.000099182128906,-9.144000053405762,-3.058199945371598e-05,17.600038528442383,-9.144000053405762,-3.058199945371598e-05,44.000099182128906,2.135346477416533e-08,0.0014377208426594734,44.000099182128906,-9.144000053405762,-3.058199945371598e-05,15.027763366699219,-18.288000106811523,-6.116399890743196e-05,45.083290100097656,-9.144000053405762,-3.058199945371598e-05,37.56940841674805,-18.288000106811523,-6.116399890743196e-05,45.083290100097656,-9.144000053405762,-3.058199945371598e-05,75.1388168334961,3.0480000972747803,-9.144000053405762,-3.058199945371598e-05,45.083290100097656,-9.144000053405762,-3.058199945371598e-05,37.56940841674805,-9.144000053405762,-3.058199945371598e-05,37.56940841674805,-18.288000106811523,-6.116399890743196e-05,45.083290100097656,-18.288000106811523,-6.116399890743196e-05,30.055526733398438,-30.479999542236328,-0.00010194000060437247,30.055526733398438,-30.479999542236328,-0.00010194000060437247,75.1388168334961,-30.479999542236328,-0.00010194000060437247,30.055526733398438,-30.479999542236328,-0.00010194000060437247,30.055526733398438,-30.479999542236328,-0.00010194000060437247,30.055526733398438,-30.479999542236328,0.0,0.0
9,2021-10-20 14:45:25.406373,0.0,0.0,3.0480000972747803,2.1249991988270267e-08,0.0,0.0,-9.144000053405762,0.0,0.0,-9.144000053405762,-3.058199945371598e-05,44.000099182128906,-9.144000053405762,-3.058199945371598e-05,17.600038528442383,-9.144000053405762,-3.058199945371598e-05,44.000099182128906,2.1249995540983946e-08,0.001434230012819171,44.000099182128906,-9.144000053405762,-3.058199945371598e-05,17.600038528442383,-18.288000106811523,-6.116399890743196e-05,52.80011749267578,-9.144000053405762,-3.058199945371598e-05,44.000099182128906,-18.288000106811523,-6.116399890743196e-05,52.80011749267578,-9.144000053405762,-3.058199945371598e-05,88.00019836425781,3.0480000972747803,-9.144000053405762,-3.058199945371598e-05,52.80011749267578,-9.144000053405762,-3.058199945371598e-05,44.000099182128906,-9.144000053405762,-3.058199945371598e-05,44.000099182128906,-18.288000106811523,-6.116399890743196e-05,52.80011749267578,-18.288000106811523,-6.116399890743196e-05,35.200077056884766,-30.479999542236328,-0.00010194000060437247,35.200077056884766,-30.479999542236328,-0.00010194000060437247,88.00019836425781,-30.479999542236328,-0.00010194000060437247,35.200077056884766,-30.479999542236328,-0.00010194000060437247,35.200077056884766,-30.479999542236328,-0.00010194000060437247,35.200077056884766,-30.479999542236328,0.0,0.0
10,2021-10-20 14:45:29.818010,0.0,0.0,3.0480000972747803,2.1249991988270267e-08,0.0,0.0,-9.144000053405762,0.0,0.0,-9.144000053405762,-3.058199945371598e-05,44.000099182128906,-9.144000053405762,-3.058199945371598e-05,17.600038528442383,-9.144000053405762,-3.058199945371598e-05,44.000099182128906,2.1249995540983946e-08,0.001434230012819171,44.000099182128906,-9.144000053405762,-3.058199945371598e-05,17.600038528442383,-18.288000106811523,-6.116399890743196e-05,52.80011749267578,-9.144000053405762,-3.058199945371598e-05,44.000099182128906,-18.288000106811523,-6.116399890743196e-05,52.80011749267578,-9.144000053405762,-3.058199945371598e-05,88.00019836425781,3.0480000972747803,-9.144000053405762,-3.058199945371598e-05,52.80011749267578,-9.144000053405762,-3.058199945371598e-05,44.000099182128906,-9.144000053405762,-3.058199945371598e-05,44.000099182128906,-18.288000106811523,-6.116399890743196e-05,52.80011749267578,-18.288000106811523,-6.116399890743196e-05,35.200077056884766,-30.479999542236328,-0.00010194000060437247,35.200077056884766,-30.479999542236328,-0.00010194000060437247,88.00019836425781,-30.479999542236328,-0.00010194000060437247,35.200077056884766,-30.479999542236328,-0.00010194000060437247,35.200077056884766,-30.479999542236328,-0.00010194000060437247,35.200077056884766,-30.479999542236328,0.0,0.0
