iteration,timestamp,P78,P79,T41,J20,J20D,J20B,J21,J21D,J21B,J14,J14D,J14B,J2,J2D,J2B,J13,J13D,J13B,J1,J1D,J1B,J3,J3D,J3B,J6,J6D,J6B,J15,J15D,J15B,J5,J5D,J5B,J19,J19D,J19B,T42,J4,J4D,J4B,J18,J18D,J18B,J12,J12D,J12B,J7,J7D,J7B,J8,J8D,J8B,J16,J16D,J16B,J17,J17D,J17B,J11,J11D,J11B,J10,J10D,J10B,J9,J9D,J9B,J22,J22D,J22B
1,2021-10-16 09:09:05.711161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2021-10-16 09:09:09.498385,1.0,1.0,3.4816908836364746,85.98521423339844,0.0,0.0,54.36466979980469,0.0,0.0,54.43072509765625,37.50136947631836,37.50125503540039,58.757442474365234,15.000631332397461,15.00050163269043,59.05361557006836,37.50138473510742,37.50125503540039,85.9738998413086,37.5014762878418,37.50125503540039,56.49036407470703,15.00062370300293,15.00050163269043,43.198299407958984,45.001583099365234,45.00150680541992,54.27521896362305,37.50136947631836,37.50125503540039,43.305580139160156,45.001583099365234,45.00150680541992,54.439353942871094,75.00262451171875,75.00251007080078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-10-16 09:09:15.235815,1.0,1.0,3.8357224464416504,85.99696350097656,0.0,0.0,54.77718734741211,0.0,0.0,54.82691955566406,37.501373291015625,37.50125503540039,58.9821662902832,15.000632286071777,15.00050163269043,59.274085998535156,37.50138854980469,37.50125503540039,85.98575592041016,37.5014762878418,37.50125503540039,56.701637268066406,15.000624656677246,15.00050163269043,43.35104751586914,45.001583099365234,45.00150680541992,54.48823165893555,37.50136947631836,37.50125503540039,43.46748352050781,45.001583099365234,45.00150680541992,54.72979736328125,75.00262451171875,75.00251007080078,3.0480000972747803,55.08488464355469,45.00162124633789,45.00150680541992,55.20539093017578,37.501373291015625,37.50125503540039,56.38739776611328,37.50137710571289,37.50125503540039,43.32143020629883,45.001583099365234,45.00150680541992,44.65465545654297,30.00108528137207,30.00100326538086,33.13092803955078,30.001047134399414,30.00100326538086,33.00679397583008,75.00255584716797,75.00251007080078,33.0029182434082,30.001047134399414,30.00100326538086,32.655879974365234,30.00104522705078,30.00100326538086,32.224830627441406,30.00104331970215,30.00100326538086,33.006996154785156,0.0,0.0
4,2021-10-16 09:09:21.623406,1.0,1.0,4.154382228851318,86.00716400146484,0.0,0.0,55.13113021850586,0.0,0.0,55.172054290771484,37.501373291015625,37.50125503540039,59.17858123779297,15.000632286071777,15.00050163269043,59.46302795410156,37.50138854980469,37.50125503540039,85.99604034423828,37.5014762878418,37.50125503540039,56.889400482177734,15.000624656677246,15.00050163269043,43.48740768432617,45.001583099365234,45.00150680541992,54.68487548828125,37.50136947631836,37.50125503540039,43.612606048583984,45.001583099365234,45.00150680541992,54.94724655151367,75.00262451171875,75.00251007080078,3.056978702545166,55.2652587890625,45.001625061035156,45.00150680541992,55.339805603027344,37.501373291015625,37.50125503540039,56.415374755859375,37.50137710571289,37.50125503540039,43.45566177368164,45.001583099365234,45.00150680541992,44.77683639526367,30.00108528137207,30.00100326538086,33.276206970214844,30.001047134399414,30.00100326538086,33.007057189941406,75.00255584716797,75.00251007080078,33.006011962890625,30.001047134399414,30.00100326538086,32.67294692993164,30.00104522705078,30.00100326538086,32.28977966308594,30.00104331970215,30.00100326538086,33.00699996948242,0.0,0.0
5,2021-10-16 09:09:27.790960,1.0,1.0,4.44451904296875,86.01653289794922,0.0,0.0,55.44972610473633,0.0,0.0,55.48412322998047,37.501373291015625,37.50125503540039,59.35661697387695,15.000633239746094,15.00050163269043,59.633968353271484,37.50138854980469,37.50125503540039,86.0054931640625,37.5014762878418,37.50125503540039,57.0595703125,15.000625610351562,15.00050163269043,43.610015869140625,45.001583099365234,45.00150680541992,54.86302185058594,37.501373291015625,37.50125503540039,43.743507385253906,45.0015869140625,45.00150680541992,55.13539505004883,75.00263214111328,75.00251007080078,3.0870089530944824,55.428707122802734,45.001625061035156,45.00150680541992,55.46350860595703,37.501373291015625,37.50125503540039,56.44804763793945,37.50137710571289,37.50125503540039,43.57625961303711,45.001583099365234,45.00150680541992,44.88645935058594,30.00108528137207,30.00100326538086,33.407100677490234,30.001047134399414,30.00100326538086,33.01649856567383,75.00255584716797,75.00251007080078,33.016483306884766,30.001047134399414,30.00100326538086,32.69529342651367,30.00104522705078,30.00100326538086,32.348968505859375,30.00104331970215,30.00100326538086,33.01598358154297,0.0,0.0
6,2021-10-16 09:09:33.164493,1.0,1.0,4.711201190948486,86.02552795410156,0.0,0.0,55.73981475830078,0.0,0.0,55.76923751831055,37.501373291015625,37.50125503540039,59.52263641357422,15.00063419342041,15.00050163269043,59.79379653930664,37.50138854980469,37.50125503540039,86.01456451416016,37.5014762878418,37.50125503540039,57.2194709777832,15.000625610351562,15.00050163269043,43.729427337646484,45.0015869140625,45.00150680541992,55.03070831298828,37.501373291015625,37.50125503540039,43.870201110839844,45.0015869140625,45.00150680541992,55.308448791503906,75.00263214111328,75.00251007080078,3.0870089530944824,55.58338165283203,45.001625061035156,45.00150680541992,55.586788177490234,37.501373291015625,37.50125503540039,56.49589538574219,37.50137710571289,37.50125503540039,43.57625961303711,45.001583099365234,45.00150680541992,44.88645935058594,30.001087188720703,30.00100326538086,33.53504943847656,30.001047134399414,30.00100326538086,33.04716873168945,75.00255584716797,75.00251007080078,33.047569274902344,30.001047134399414,30.00100326538086,32.73554992675781,30.00104522705078,30.00100326538086,32.41625213623047,30.00104522705078,30.00100326538086,33.0460205078125,0.0,0.0
7,2021-10-16 09:09:38.960652,1.0,1.0,4.947289943695068,86.03421020507812,0.0,0.0,56.00645446777344,0.0,0.0,56.031944274902344,37.50137710571289,37.50125503540039,59.678653717041016,15.00063419342041,15.00050163269043,59.94443130493164,37.50138854980469,37.50125503540039,86.0233154296875,37.5014762878418,37.50125503540039,57.370819091796875,15.000626564025879,15.00050163269043,43.8463020324707,45.0015869140625,45.00150680541992,55.1896858215332,37.501373291015625,37.50125503540039,43.993465423583984,45.0015869140625,45.00150680541992,55.47053146362305,75.00263214111328,75.00251007080078,3.1900346279144287,55.730743408203125,45.001625061035156,45.00150680541992,55.70942306518555,37.501373291015625,37.50125503540039,56.55543518066406,37.50137710571289,37.50125503540039,43.80925750732422,45.0015869140625,45.00150680541992,45.10218048095703,30.001087188720703,30.00100326538086,33.66070556640625,30.001049041748047,30.00100326538086,33.094154357910156,75.00255584716797,75.00251007080078,33.09538269042969,30.001047134399414,30.00100326538086,32.789981842041016,30.00104522705078,30.00100326538086,32.49073028564453,30.00104522705078,30.00100326538086,33.09233474731445,0.0,0.0
8,2021-10-16 09:09:44.156247,1.0,1.0,5.115883827209473,85.98221588134766,0.0,0.0,56.32709503173828,0.0,0.0,56.33054733276367,47.36833572387695,47.36821365356445,59.24480056762695,18.947416305541992,18.947284698486328,59.535987854003906,47.36834716796875,47.36821365356445,85.97087860107422,47.36843490600586,47.36821365356445,56.576595306396484,18.947406768798828,18.947284698486328,42.045623779296875,56.8419303894043,56.841854095458984,54.516178131103516,47.36832809448242,47.36821365356445,42.154823303222656,56.8419303894043,56.841854095458984,54.839637756347656,94.73654174804688,94.7364273071289,3.0480000972747803,54.798126220703125,56.84197235107422,56.841854095458984,55.1266975402832,47.36833190917969,47.36821365356445,56.11277770996094,47.36833572387695,47.36821365356445,42.017333984375,56.8419303894043,56.841854095458984,44.1844367980957,37.894649505615234,37.894569396972656,33.056182861328125,37.89461135864258,37.894569396972656,32.996604919433594,94.7364730834961,94.7364273071289,32.78490447998047,37.89461135864258,37.894569396972656,32.365901947021484,37.89461135864258,37.894569396972656,31.66490936279297,37.89460754394531,37.894569396972656,33.006813049316406,0.0,0.0
9,2021-10-16 09:09:50.872376,1.0,1.0,5.1929450035095215,85.98453521728516,0.0,0.0,56.41091537475586,0.0,0.0,56.41386795043945,47.36833572387695,47.36821365356445,59.28993606567383,18.947416305541992,18.947284698486328,59.57845687866211,47.36834716796875,47.36821365356445,85.97322082519531,47.36843490600586,47.36821365356445,56.616554260253906,18.947406768798828,18.947284698486328,42.071563720703125,56.8419303894043,56.841854095458984,54.551734924316406,47.36832809448242,47.36821365356445,42.18240737915039,56.8419303894043,56.841854095458984,54.87506866455078,94.73654174804688,94.7364273071289,3.0480000972747803,54.83378601074219,56.84197235107422,56.841854095458984,55.14982986450195,47.36833190917969,47.36821365356445,56.11863708496094,47.36833572387695,47.36821365356445,42.04286193847656,56.8419303894043,56.841854095458984,44.20694351196289,37.894649505615234,37.894569396972656,33.07688903808594,37.89461135864258,37.894569396972656,32.99730682373047,94.7364730834961,94.7364273071289,32.787940979003906,37.89461135864258,37.894569396972656,32.370361328125,37.89461135864258,37.894569396972656,31.678239822387695,37.89460754394531,37.894569396972656,33.00690460205078,0.0,0.0
10,2021-10-16 09:09:55.953012,1.0,1.0,5.263871669769287,85.98668670654297,0.0,0.0,56.48796844482422,0.0,0.0,56.490501403808594,47.36833572387695,47.36821365356445,59.331722259521484,18.947416305541992,18.947284698486328,59.6177978515625,47.36834716796875,47.36821365356445,85.97538757324219,47.36843490600586,47.36821365356445,56.65367889404297,18.947406768798828,18.947284698486328,42.09577178955078,56.8419303894043,56.841854095458984,54.584991455078125,47.36832809448242,47.36821365356445,42.208152770996094,56.8419303894043,56.841854095458984,54.908042907714844,94.73654174804688,94.7364273071289,3.0480000972747803,54.86703872680664,56.84197235107422,56.841854095458984,55.171573638916016,47.36833190917969,47.36821365356445,56.124088287353516,47.36833572387695,47.36821365356445,42.06668472290039,56.8419303894043,56.841854095458984,44.22796630859375,37.894649505615234,37.894569396972656,33.096710205078125,37.89461135864258,37.894569396972656,32.99784469604492,94.7364730834961,94.7364273071289,32.790679931640625,37.89461135864258,37.894569396972656,32.374412536621094,37.89461135864258,37.894569396972656,31.690561294555664,37.89460754394531,37.894569396972656,33.00690841674805,0.0,0.0
