iteration,timestamp,T41_LEVEL,T42_LEVEL,J1_LEVEL,J1_SUPPLY,J1_DEMAND,J2_LEVEL,J2_SUPPLY,J2_DEMAND,J3_LEVEL,J3_SUPPLY,J3_DEMAND,J4_LEVEL,J4_SUPPLY,J4_DEMAND,J5_LEVEL,J5_SUPPLY,J5_DEMAND,J6_LEVEL,J6_SUPPLY,J6_DEMAND,J7_LEVEL,J7_SUPPLY,J7_DEMAND,J8_LEVEL,J8_SUPPLY,J8_DEMAND,J9_LEVEL,J9_SUPPLY,J9_DEMAND,J10_LEVEL,J10_SUPPLY,J10_DEMAND,J11_LEVEL,J11_SUPPLY,J11_DEMAND,J12_LEVEL,J12_SUPPLY,J12_DEMAND,J13_LEVEL,J13_SUPPLY,J13_DEMAND,J14_LEVEL,J14_SUPPLY,J14_DEMAND,J15_LEVEL,J15_SUPPLY,J15_DEMAND,J16_LEVEL,J16_SUPPLY,J16_DEMAND,J17_LEVEL,J17_SUPPLY,J17_DEMAND,J18_LEVEL,J18_SUPPLY,J18_DEMAND,J19_LEVEL,J19_SUPPLY,J19_DEMAND,J20_LEVEL,J20_SUPPLY,J20_DEMAND,J21_LEVEL,J21_SUPPLY,J21_DEMAND,J22_LEVEL,J22_SUPPLY,J22_DEMAND,P78_FLOW,P78_STATUS,P79_FLOW,P79_STATUS,attack1,attack2
11,2021-10-27 18:11:15.648994,3.9793257951543213,3.048,80.59784629970365,44.00030171578223,44.000099047001,57.000249670639434,17.600162668298886,17.600038921400873,54.48338013963167,17.60015425065847,17.600038921400873,52.77418281478684,52.8002275394025,52.800117926535165,40.29438597117091,52.80018580086936,52.800117926535165,40.13527683190795,52.80018526873072,52.800117926535165,40.09483066612563,52.800185133458996,52.800117926535165,41.88369089934369,35.200150645103314,35.20007745535757,29.085180183187187,35.20010784063539,35.20007745535757,29.463203517685066,35.200109104929965,35.20007745535757,29.801404199264475,35.20011023603816,35.20007745535757,53.05982825769521,44.00020961520614,44.000099047001,57.190728156122134,44.00022343095206,44.000099047001,55.36814805747509,44.00021733535444,44.000099047001,52.51474140038056,44.00020779216958,44.000099047001,30.695888086362682,35.20011322762895,35.20007745535757,29.900748902524107,88.00023159438396,88.00019848144619,52.75058006124191,44.0002085809292,44.000099047001,52.74872126178025,88.00030800915765,88.00019848144619,80.60736573880396,0.0,0.0,55.372802031117594,0.0,0.0,29.9007489025241,0.0,0.0,0.0,0.0,816.4099939574744,1.0,0,0
12,2021-10-27 18:11:22.221790,3.883984201018621,3.048,80.57589788071867,44.000301642376,44.000099047001,56.92326798631435,17.600162410834553,17.600038921400873,54.404278176893996,17.600153986102885,17.600038921400873,52.69330626879869,52.80022726891184,52.800117926535165,40.21394375850063,52.800185531831325,52.800117926535165,40.054941720444496,52.80018500005088,52.800117926535165,40.014521630562115,52.80018486486637,52.800117926535165,41.80353091970873,35.20015037700921,35.20007745535757,29.006237889198193,35.20010757661382,35.20007745535757,29.384935609469576,35.200108843163875,35.20007745535757,29.72381439952694,35.200109976539984,35.20007745535757,52.986137563513985,44.000209368748486,44.000099047001,57.11500708698888,44.00022317770384,44.000099047001,55.26990249449943,44.00021700677332,44.000099047001,52.43205530261688,44.000207515626904,44.000099047001,30.61527938810986,35.20011295803411,35.20007745535757,29.82245761472757,88.00023133253966,88.00019848144619,52.670234791472794,44.00020831221539,44.000099047001,52.66770774337385,88.00030773820889,88.00019848144619,80.58544941344589,0.0,0.0,55.274282000098324,0.0,0.0,29.82245761472757,0.0,0.0,0.0,0.0,817.8950342255473,1.0,0,0
13,2021-10-27 18:11:28.790076,4.198115867708902,3.0603979640058165,85.99744461454043,37.50147610119662,37.50125537352261,59.20531092886703,15.000632676715234,15.000501555015887,56.91488319474589,15.00062501640673,15.000501555015887,55.28967750103057,45.00162368161252,45.00150565570292,43.632019960284914,45.001584692714566,45.00150565570292,43.50556218568724,45.00158426977803,45.00150565570292,43.4735076592121,45.001584162572044,45.00150565570292,44.79298637920301,30.001085699663474,30.00100277981336,32.29802915800726,30.001043910426628,30.00100277981336,32.67512618151463,30.001045171623165,30.00100277981336,33.00631607480091,30.00104627928385,30.00100277981336,56.41919851530885,37.501377177101894,37.50125537352261,59.48867350617611,37.501387442924745,37.50125537352261,55.2192342385136,37.50137316383554,37.50125537352261,54.711542737952016,37.50137146586731,37.50125537352261,33.295554413668235,30.001047246638063,30.00100277981336,33.00710114926923,75.00255457935981,75.00251107726365,55.357909265581554,37.50137362763253,37.50125537352261,54.97581294164567,75.00262805345693,75.00251107726365,86.0085550442612,0.0,0.0,55.179382716241335,0.0,0.0,33.00700100147783,0.0,0.0,443.73102688275054,1.0,443.7310268827481,1.0,0,0
14,2021-10-27 18:11:36.605200,4.3897318974369215,3.048,81.1095583928447,37.50145975371888,37.50125537352261,58.19432140243905,15.000629295472702,15.000501555015887,56.24927054701421,15.00062279027309,15.000501555015887,54.91674838965542,45.00162243435551,45.00150565570292,43.40887294491664,45.00158394640201,45.00150565570292,43.318103794138494,45.00158364282565,45.00150565570292,43.29478745570411,45.00158356484444,45.00150565570292,44.666574198636745,30.001085276879426,30.00100277981336,32.22022098290216,30.001043650198103,30.00100277981336,32.6366718062003,30.001045043012965,30.00100277981336,32.940548323389194,30.001046059324388,30.00100277981336,55.85348408076472,37.50137528507665,37.50125537352261,58.41967805604536,37.50138386768209,37.50125537352261,55.536890205945426,37.50137422623217,37.50125537352261,54.600940988156744,37.50137109596107,37.50125537352261,33.163348466626694,30.00104680447683,30.00100277981336,33.00519563174104,75.00255457298684,75.00251107726365,55.070385343320204,37.501372666012166,37.50125537352261,54.83439016775283,75.00262758047013,75.00251107726365,81.11834368668576,0.0,0.0,55.52556044713106,0.0,0.0,33.007003093751464,0.0,0.0,0.0,0.0,781.7863599173817,1.0,0,0
15,2021-10-27 18:11:42.849149,4.535086427857191,3.048,81.13154249583158,37.50145982724446,37.50125537352261,58.28536855955357,15.000629599978847,15.000501555015887,56.33208102802687,15.000623067231766,15.000501555015887,54.99263606933994,45.00162268816096,45.00150565570292,43.468062204949184,45.00158414435978,45.00150565570292,43.37353670610688,45.00158382822037,45.00150565570292,43.34929195957797,45.0015837471341,45.00150565570292,44.715087886996365,30.001085439132886,30.00100277981336,32.24680938079745,30.001043739122686,30.00100277981336,32.64489136246966,30.00104507050317,30.00100277981336,32.94541263862159,30.00104607559303,30.00100277981336,55.86778689210028,37.50137533291223,37.50125537352261,58.50638992042285,37.501384157688896,37.50125537352261,55.69439090794418,37.50137475299141,37.50125537352261,54.678939622266675,37.501371356826574,37.50125537352261,33.215871082974154,30.001046980138103,30.00100277981336,33.00574085324104,75.00255457481032,75.00251107726365,55.123398333430245,37.50137284331349,37.50125537352261,54.9130541193056,75.00262784356079,75.00251107726365,81.14029685646928,0.0,0.0,55.68482753120431,0.0,0.0,33.0069875332004,0.0,0.0,0.0,0.0,780.2988230877471,1.0,0,0
16,2021-10-27 18:11:49.307203,4.667986417394361,3.048,81.15176240886348,37.50145989486972,37.50125537352261,58.368893616894525,15.000629879327413,15.000501555015887,56.407999767839826,15.000623321141095,15.000501555015887,55.06215911881376,45.00162292067998,45.00150565570292,43.52199524690831,45.001584324738204,45.00150565570292,43.42391080130899,45.00158399669594,45.00150565570292,43.39878840774022,45.00158391267439,45.00150565570292,44.75902820513749,30.001085586090756,30.00100277981336,32.2703007144549,30.001043817689172,30.00100277981336,32.65217302733771,30.001045094856615,30.00100277981336,32.94971568031503,30.001046089984502,30.00100277981336,55.88112310084052,37.501375377515025,37.50125537352261,58.58599842235385,37.50138442393859,37.50125537352261,55.83826887876813,37.50137523418958,37.50125537352261,54.75045442148076,37.50137159600698,37.50125537352261,33.26438423029577,30.001047142389748,30.00100277981336,33.006161024531295,75.00255457621557,75.00251107726365,55.17247226874518,37.501373007440684,37.50125537352261,54.98463874910041,75.00262808297474,75.00251107726365,81.16048836289782,0.0,0.0,55.830167442222645,0.0,0.0,33.00699169331218,0.0,0.0,0.0,0.0,778.9306557682028,1.0,0,0
17,2021-10-27 18:11:54.579457,4.789660618729916,3.048,81.17036086407552,37.50145995707203,37.50125537352261,58.445540554671965,15.000630135672191,15.000501555015887,56.477557253734844,15.000623553775284,15.000501555015887,55.125753198581485,45.00162313336963,45.00150565570292,43.57103276729676,45.00158448874362,45.00150565570292,43.46958058254517,45.00158414943798,45.00150565570292,43.44362942875538,45.00158406264465,45.00150565570292,44.79871334424162,30.001085718817237,30.00100277981336,32.29103907464743,30.001043887048375,30.00100277981336,32.65861033545671,30.001045116386116,30.00100277981336,32.953512233103254,30.00104610268203,30.00100277981336,55.89352818009796,37.501375419003665,37.50125537352261,58.65910542438578,37.501384668444096,37.50125537352261,55.969935107657534,37.50137567454573,37.50125537352261,54.81587164875364,37.501371814794126,37.50125537352261,33.308975883711405,30.00104729152601,30.00100277981336,33.00646986970896,75.0025545772485,75.00251107726365,55.21778125557656,37.50137315897606,37.50125537352261,55.0497585433236,75.00262830076711,75.00251107726365,81.1790607269173,0.0,0.0,55.963055216307865,0.0,0.0,33.006994751185225,0.0,0.0,0.0,0.0,777.6722008040784,1.0,0,0
18,2021-10-27 18:12:00.038508,4.879048596637228,3.048,81.18747169117657,37.50146001429899,37.50125537352261,58.51590314464374,15.000630370999042,15.000501555015887,56.54128350273603,15.00062376690697,15.000501555015887,55.183895168798635,45.00162332782476,45.00150565570292,43.61558402482999,45.00158463774477,45.00150565570292,43.51094902608317,45.00158428779425,45.00150565570292,43.484216144469514,45.001584198386446,45.00150565570292,44.834513847681976,30.001085838551603,30.00100277981336,32.30936478558672,30.0010439483385,30.00100277981336,32.66430666722315,30.00104513543743,30.00100277981336,32.956867266927155,30.0010461139029,30.00100277981336,55.905059710546325,37.50137545757073,37.50125537352261,58.72626579532873,37.501384893061164,37.50125537352261,56.090571983106805,37.50137607801433,37.50125537352261,54.875659129747014,37.50137201475265,37.50125537352261,33.34987120945046,30.00104742829994,30.00100277981336,33.00669162287271,75.00255457799015,75.00251107726365,55.25956282306081,37.501373298714014,37.50125537352261,55.10901360341536,75.00262849894497,75.00251107726365,81.19614758147814,0.0,0.0,56.08471914709007,0.0,0.0,33.00699694676112,0.0,0.0,0.0,0.0,776.5144032872514,1.0,0,0
19,2021-10-27 18:12:05.926380,4.643185415366022,3.048,80.569770172566,47.368416180875116,47.368213605994164,57.17439829784958,18.94740902094972,18.94728469161368,54.3642231549905,18.947399622352147,18.94728469161368,52.46760531603413,56.841963913670185,56.84185532614768,39.475284634189705,56.84192046100711,56.84185532614768,39.286867802570235,56.84191983084925,56.84185532614768,39.239037728529695,56.84191967088213,56.84185532614768,41.28143838714945,37.89464014164447,37.89456896612515,28.345030598698603,37.89459687598142,37.89456896612515,28.752012754773002,37.894598237128434,37.89456896612515,29.11263407828852,37.89459944322219,37.89456896612515,52.501994237233845,47.368322308530004,47.368213605994164,57.33757993374984,47.36833848108925,47.368213605994164,56.15037402992127,47.368334510493135,47.368213605994164,52.234846999238265,47.36832141505922,47.368213605994164,30.256819297874458,37.89460326993615,37.89456896612515,29.25492735975381,94.73645858208579,94.73642762909054,52.395800013492156,47.36832195336468,47.368213605994164,52.43968826056218,94.73653612324479,94.73642762909054,80.57933067426899,0.0,0.0,56.17381419498657,0.0,0.0,29.25492735975381,0.0,0.0,0.0,0.0,818.3096372175672,1.0,0,0
20,2021-10-27 18:12:12.481172,4.415095669712563,3.048,80.51613632327764,47.36841600149734,47.368213605994164,56.98597605353411,18.94740839077375,18.94728469161368,54.17224793229302,18.947398980293283,18.94728469161368,52.272664766794136,56.84196326169382,56.84185532614768,39.28213302837288,56.841919815013846,56.84185532614768,39.09416252656419,56.841919186348726,56.84185532614768,39.046440892581735,56.841919026744286,56.84185532614768,41.089451783240676,37.89463949954755,37.89456896612515,28.155801060295172,37.89459624310547,37.89456896612515,28.56422194883299,37.8945976090643,37.89456896612515,28.926321304662316,37.89459882010132,37.89456896612515,52.32360438926642,47.368321711907264,47.368213605994164,57.15251021566159,47.36833786212577,47.368213605994164,55.91593555422327,47.36833372641642,47.368213605994164,52.036741991279065,47.368320752499365,47.368213605994164,30.06412737109298,37.89460262548027,37.89456896612515,29.067060807753045,94.73645795376832,94.73642762909054,52.2053731802723,47.36832131648438,47.368213605994164,52.244569753726715,94.73653547067323,94.73642762909054,80.52577549253395,0.0,0.0,55.93796511971114,0.0,0.0,29.067060807753045,0.0,0.0,0.0,0.0,821.9385120467664,1.0,0,0
