iteration,timestamp,T41_LEVEL,T42_LEVEL,J1_LEVEL,J1_SUPPLY,J1_DEMAND,J2_LEVEL,J2_SUPPLY,J2_DEMAND,J3_LEVEL,J3_SUPPLY,J3_DEMAND,J4_LEVEL,J4_SUPPLY,J4_DEMAND,J5_LEVEL,J5_SUPPLY,J5_DEMAND,J6_LEVEL,J6_SUPPLY,J6_DEMAND,J7_LEVEL,J7_SUPPLY,J7_DEMAND,J8_LEVEL,J8_SUPPLY,J8_DEMAND,J9_LEVEL,J9_SUPPLY,J9_DEMAND,J10_LEVEL,J10_SUPPLY,J10_DEMAND,J11_LEVEL,J11_SUPPLY,J11_DEMAND,J12_LEVEL,J12_SUPPLY,J12_DEMAND,J13_LEVEL,J13_SUPPLY,J13_DEMAND,J14_LEVEL,J14_SUPPLY,J14_DEMAND,J15_LEVEL,J15_SUPPLY,J15_DEMAND,J16_LEVEL,J16_SUPPLY,J16_DEMAND,J17_LEVEL,J17_SUPPLY,J17_DEMAND,J18_LEVEL,J18_SUPPLY,J18_DEMAND,J19_LEVEL,J19_SUPPLY,J19_DEMAND,J20_LEVEL,J20_SUPPLY,J20_DEMAND,J21_LEVEL,J21_SUPPLY,J21_DEMAND,J22_LEVEL,J22_SUPPLY,J22_DEMAND,P78_FLOW,P78_STATUS,P79_FLOW,P79_STATUS,attack0,attack1,attack2
1,2021-11-20 16:11:02.592160,3.9364067609512188,3.693626480602375,86.17799150996721,5.482438718268434,5.482217386757458,60.80444946504093,2.193023337809386,2.192886867810093,59.39306661067239,2.1930186174561,2.192886867810093,58.06446691473957,6.578788054411778,6.578660748251762,47.933826995559095,6.578754172606221,6.578660748251762,47.272099439390274,6.578751959466225,6.578660748251762,47.169025857100486,6.578751614737848,6.578660748251762,47.1548147157276,4.385864506303448,4.385773687346357,33.91436923810927,4.38582022378993,4.385773687346357,33.565308928202334,4.385819056361847,4.385773687346357,34.04788549262393,4.385820670333468,4.385773687346357,57.85346944518557,5.48234398723893,5.482217386757458,60.983745644543475,5.4823544564107065,5.482217386757458,54.6202988345954,5.4823331739380095,5.482217386757458,56.400739451600245,5.482339128600625,5.482217386757458,35.077128849753315,4.385824112625718,4.385773687346357,33.161514703384206,10.96447884031922,10.964434821788746,57.1488094340349,5.482341630511845,5.482217386757458,56.69854788892939,10.964557559648712,10.964434821788746,86.18760583187552,0.0,0.0,54.348715830045485,0.0,0.0,33.01150014557804,0.0,0.0,410.39676016894674,1.0,410.39676016894674,1.0,0,0,0
2,2021-11-20 16:11:22.013995,4.792214437619807,4.335267972668307,86.2166443439371,5.48243884754238,5.482217386757458,61.38698271116428,2.1930252860849477,2.192886867810093,60.0069244246403,2.193020670496308,2.192886867810093,58.70878510734497,6.578790209326363,6.578660748251762,48.5947735151159,6.57875638313405,6.578660748251762,47.946869940900434,6.578754216228198,6.578660748251762,47.84632877276185,6.578753879969449,6.578660748251762,47.83312422980704,4.385866774901606,4.385773687346357,34.56635679197097,4.385822404354604,4.385773687346357,34.20636593160162,4.385821200369423,4.385773687346357,34.674224420077245,4.385822765116612,4.385773687346357,58.42645735418378,5.482345903590224,5.482217386757458,61.55775953556429,5.482356376193385,5.482217386757458,55.48896535962298,5.482336079182943,5.482217386757458,57.09286774748873,5.482341443415535,5.482217386757458,35.760158539195416,4.385826397010447,4.385773687346357,33.80371136784001,10.96448098813838,10.964434821788746,57.79860717460547,5.4823438037527135,5.482217386757458,57.38896394727976,10.964559868737066,10.964434821788746,86.22595123257291,0.0,0.0,55.233956846086585,0.0,0.0,33.65412237057501,0.0,0.0,403.25791520140893,1.0,403.25791520140893,1.0,0,0,0
3,2021-11-20 16:11:36.591936,5.619491168628524,4.975025741623313,86.25507851808848,5.482438976085022,5.482217386757458,61.95573156692341,2.193027188258778,2.192886867810093,60.60728613601949,2.193022678398961,2.192886867810093,59.33987669375233,6.5787923200047205,6.578660748251762,49.243483098439675,6.5787585527355885,6.578660748251762,48.61019735812384,6.578756434718911,6.578660748251762,48.51233514626394,6.578756107419898,6.578660748251762,48.50017045283964,4.38586900582982,4.385773687346357,35.21309992058218,4.385824567379359,4.385773687346357,34.84465753826773,4.385823335128163,4.385773687346357,35.29825283548917,4.385824852172277,4.385773687346357,58.99671210220049,5.482347810800493,5.482217386757458,62.118802960632195,5.482358252596494,5.482217386757458,56.32909705396967,5.482338888993471,5.482217386757458,57.77086569382322,5.482343710971659,5.482217386757458,36.43479651036968,4.385828653329174,4.385773687346357,34.44453242521899,10.964483131356836,10.964434821788746,58.439735181167435,5.482345947997759,5.482217386757458,58.066870691597586,10.964562135988164,10.964434821788746,86.26408424059133,0.0,0.0,56.08960931500941,0.0,0.0,34.295755739525234,0.0,0.0,396.15861183155226,1.0,396.15861183155226,1.0,0,0,0
4,2021-11-20 16:11:57.966633,6.316748733030842,5.538294865291128,82.37859616852676,5.48242601123559,5.482217386757458,61.35898497795622,2.19302519244686,2.192886867810093,60.27094844753327,2.1930215535215343,2.192886867810093,59.25620186080868,6.57879204015523,6.578660748251762,49.33020851811794,6.578758842787731,6.578660748251762,48.83657437178657,6.578757191834159,6.578660748251762,48.764416596282274,6.578756950503331,6.578660748251762,48.7606322897516,4.385869876941358,4.385773687346357,35.653014362789015,4.385826038668015,4.385773687346357,35.35861351096315,4.385825054047844,4.385773687346357,35.712914361446046,4.385826239002853,4.385773687346357,58.92774717430302,5.482347580148106,5.482217386757458,61.48576602972779,5.482356135411956,5.482217386757458,57.09072111482541,5.482341436236148,5.482217386757458,58.033844806400985,5.482344590502195,5.482217386757458,36.68924122828925,4.385829504316528,4.385773687346357,35.05272318623119,10.964485165443653,10.964434821788746,58.54134668026122,5.482346287836218,5.482217386757458,58.27577370915263,10.96456283466184,10.964434821788746,82.3856783672755,0.0,0.0,56.916236019580985,0.0,0.0,34.93520096384714,0.0,0.0,0.0,0.0,695.9123366469905,1.0,0,0,0
5,2021-11-20 16:12:16.354770,6.992475944662679,6.100057300936607,82.53751276323287,5.482426542730263,5.482217386757458,61.87165409981396,2.1930269070626824,2.192886867810093,60.80602071066288,2.1930233430643984,2.192886867810093,59.81296601907229,6.57879390224638,6.578660748251762,49.89878355886002,6.57876074438024,6.578660748251762,49.41469804155091,6.578759125361944,6.578660748251762,49.34431065952293,6.5787588899521765,6.578660748251762,49.34097225228713,4.385871817881508,4.385773687346357,36.21962670618128,4.385827933696306,4.385773687346357,35.91961861847304,4.3858269303228,4.385773687346357,36.26466617288391,4.38582808433027,4.385773687346357,59.44414793709753,5.482349307244358,5.482217386757458,61.993070537239234,5.482357832085889,5.482217386757458,57.77803334350287,5.482343734943779,5.482217386757458,58.62446216720327,5.482346565814982,5.482217386757458,37.271990397934346,4.3858314533142435,4.385773687346357,35.61540496206546,10.964487047326207,10.964434821788746,59.10317072835339,5.4823481668501115,5.482217386757458,58.86268630983982,10.964564797584101,10.964434821788746,82.54439360197834,0.0,0.0,57.61339511531275,0.0,0.0,35.49846427218987,0.0,0.0,0.0,0.0,685.157864314635,1.0,1,0,0
6,2021-11-20 16:12:22.579786,7.647763908299875,6.659435302095917,82.69495491171934,5.482427069293669,5.482217386757458,62.37336986078821,2.1930285850451194,2.192886867810093,61.33060186092072,2.1930250975198597,2.192886867810093,60.359678233056094,6.578795730718923,6.578660748251762,50.45781939029839,6.578762614068975,6.578660748251762,49.98367656839008,6.578761028303907,6.578660748251762,49.91513556465406,6.578760799069329,6.578660748251762,49.91223969526768,4.385873728478724,4.385773687346357,36.78159626565343,4.385829813196859,4.385773687346357,36.477784558899494,4.385828797102195,4.385773687346357,36.81374533119701,4.38582992071903,4.385773687346357,59.95702210606845,5.482351022545958,5.482217386757458,62.48969601139987,5.482359493043922,5.482217386757458,58.444565686805056,5.482345964153328,5.482217386757458,59.20526854519804,5.482348508315054,5.482217386757458,37.84453627199036,4.385833368187157,4.385773687346357,36.17624062231589,10.96448892303445,10.964434821788746,59.65626806148929,5.482350016677609,5.482217386757458,59.438615663695245,10.964566723773023,10.964434821788746,82.70163889332298,0.0,0.0,58.28903128864428,0.0,0.0,36.06021753184135,0.0,0.0,0.0,0.0,674.5029946776697,1.0,1,0,0
7,2021-11-20 16:12:30.093404,8.313769696362192,7.252662969899222,82.91268921397308,3.669103635084717,3.668893224338704,63.009401441395255,1.46770107601883,1.4675572315836944,62.038459457658526,1.4676978287148332,1.4675572315836944,61.11427950604018,4.402809297892935,4.402671791670728,51.28452776518885,4.4027764224043375,4.402671791670728,50.785847262151684,4.402774754573285,4.402671791670728,50.70318285960224,4.402774478103167,4.402671791670728,50.679905085635504,2.935217039441038,2.9351144308608403,37.49766222950859,2.9351729515855016,2.9351144308608403,37.12003117613126,2.9351716886029036,2.9351144308608403,37.4558677601715,2.9351728118043927,2.9351144308608403,60.58209562265898,3.6690289506781975,3.668893224338704,63.11435612831124,3.6690374197935505,3.668893224338704,59.104645214706515,3.6690240093627584,3.668893224338704,59.95123490308889,3.669026840771972,3.668893224338704,38.58275524359012,2.935176580666271,2.9351144308608403,36.749088912353386,7.337842498114001,7.337786480983957,60.360925787893365,3.6690282109782975,3.668893224338704,60.177159933373964,7.3379208530208215,7.337786480983957,82.91910528480074,0.0,0.0,58.94436669351182,0.0,0.0,36.619728902197494,0.0,0.0,0.0,0.0,659.7675706035823,1.0,1,0,0
8,2021-11-20 16:12:43.535863,8.961253611134712,7.840863945338677,83.07512522782868,3.669104178350046,3.668893224338704,63.5121288484947,1.4677027573847052,1.4675572315836944,62.56549483055383,1.467699591378413,1.4675572315836944,61.665073389389704,4.402811140016572,4.402671791670728,51.84938898649539,4.40277831157602,4.402671791670728,51.3628467648227,4.4027766843413065,4.402671791670728,51.28238960912809,4.4027764152532995,4.402671791670728,51.26031484290811,2.935218980614616,2.9351144308608403,38.08121464727295,2.9351749032696706,2.9351144308608403,37.70497043056561,2.9351736449253316,2.9351144308608403,38.0314125273486,2.9351747367070686,2.9351144308608403,61.11645994467964,3.6690307378533613,3.668893224338704,63.6125966214778,3.6690390861529947,3.668893224338704,59.76241224168245,3.6690262092568116,3.668893224338704,60.53765541043472,3.669028802048433,3.668893224338704,39.16258811394575,2.9351785199104574,2.9351144308608403,37.34027367180276,7.337844475324445,7.337786480983957,60.92358959013245,3.6690300928007384,3.668893224338704,60.75720147922336,7.33792279296292,7.337786480983957,83.08134471388077,0.0,0.0,59.61029090968216,0.0,0.0,37.21293634318539,0.0,0.0,0.0,0.0,648.774300458311,1.0,1,0,0
9,2021-11-20 16:12:54.910156,9.590995719480272,8.423476196681513,83.23605447920866,3.6691047165760273,3.668893224338704,64.00428825219556,1.4677044034060183,1.4675572315836944,63.08194833232027,1.4677013186510497,1.4675572315836944,62.20526417091765,4.402812946678261,4.402671791670728,52.40384810757343,4.402780165958002,4.402671791670728,51.92959557868017,4.40277857982602,4.402671791670728,51.85138723106517,4.402778318259125,4.402671791670728,51.830544697461455,2.9352208877416297,2.9351144308608403,38.65756679656979,2.9351768308726265,2.9351144308608403,38.28402390171942,2.9351755815628264,2.9351144308608403,38.60122883375953,2.9351766424509753,2.9351144308608403,61.64474279606056,3.6690325046891186,3.668893224338704,64.10052134351156,3.669040718011465,3.668893224338704,60.40219040450691,3.6690283489873203,3.668893224338704,61.113074356883594,3.669030726530303,3.668893224338704,39.731965761181364,2.935180424187274,2.9351144308608403,37.92622070513963,7.337846435017378,7.337786480983957,61.476700856571824,3.669031942674836,3.668893224338704,61.32599757216923,7.337924695294735,7.337786480983957,83.24208197930486,0.0,0.0,60.25769852988097,0.0,0.0,37.80111500236641,0.0,0.0,0.0,0.0,637.8828162411958,1.0,1,0,0
10,2021-11-20 16:13:12.687660,10.20372640017637,8.999989041443117,83.39546558043816,3.6691052497245726,3.668893224338704,64.48609086990018,1.4677060147891825,1.4675572315836944,63.587966341865176,1.4677030110223062,1.4675572315836944,62.73493460075774,4.402814718154757,4.402671791670728,52.9479607170285,4.402781985736198,4.402671791670728,52.486123528649664,4.402780441127176,4.402671791670728,52.41018659613025,4.402780187157002,4.402671791670728,52.390571544843986,2.9352227607448063,2.9351144308608403,39.22639699461424,2.9351787333185055,2.9351144308608403,38.85673618657419,2.9351774969922992,2.9351144308608403,39.16485520398477,2.9351785274927136,2.9351144308608403,62.16656963644623,3.669034249932823,3.668893224338704,64.57832642643177,3.669042316024921,3.668893224338704,61.024715619335375,3.669030431015549,3.668893224338704,61.67748031645754,3.6690326141793688,3.668893224338704,40.29093769795736,2.9351822936623146,2.9351144308608403,38.50639399353261,7.337848375400088,7.337786480983957,62.0202288629686,3.6690337604978343,3.668893224338704,61.88364608186742,7.33792656034359,7.337786480983957,83.40130563614176,0.0,0.0,60.887369183835276,0.0,0.0,38.38370310556123,0.0,0.0,0.0,0.0,627.0938934555854,1.0,0,0,0
