iteration,timestamp,T41_LEVEL,T42_LEVEL,J1_LEVEL,J1_SUPPLY,J1_DEMAND,J2_LEVEL,J2_SUPPLY,J2_DEMAND,J3_LEVEL,J3_SUPPLY,J3_DEMAND,J4_LEVEL,J4_SUPPLY,J4_DEMAND,J5_LEVEL,J5_SUPPLY,J5_DEMAND,J6_LEVEL,J6_SUPPLY,J6_DEMAND,J7_LEVEL,J7_SUPPLY,J7_DEMAND,J8_LEVEL,J8_SUPPLY,J8_DEMAND,J9_LEVEL,J9_SUPPLY,J9_DEMAND,J10_LEVEL,J10_SUPPLY,J10_DEMAND,J11_LEVEL,J11_SUPPLY,J11_DEMAND,J12_LEVEL,J12_SUPPLY,J12_DEMAND,J13_LEVEL,J13_SUPPLY,J13_DEMAND,J14_LEVEL,J14_SUPPLY,J14_DEMAND,J15_LEVEL,J15_SUPPLY,J15_DEMAND,J16_LEVEL,J16_SUPPLY,J16_DEMAND,J17_LEVEL,J17_SUPPLY,J17_DEMAND,J18_LEVEL,J18_SUPPLY,J18_DEMAND,J19_LEVEL,J19_SUPPLY,J19_DEMAND,J20_LEVEL,J20_SUPPLY,J20_DEMAND,J21_LEVEL,J21_SUPPLY,J21_DEMAND,J22_LEVEL,J22_SUPPLY,J22_DEMAND,P78_FLOW,P78_STATUS,P79_FLOW,P79_STATUS,attack0,attack1,attack2
1,2021-11-20 17:49:36.870276,3.6326960695402475,3.2016787535304165,86.02955149073289,27.230251219557832,27.23003038450275,59.26658766944744,10.892143048845067,10.892011722206384,57.235891599680116,10.892136257206046,10.892011722206384,55.67032266084288,32.67615518491652,32.676035885943676,44.757994210196806,32.6761186887629,32.676035885943676,44.571559750758965,32.67611806523505,32.676035885943676,44.526934629877786,32.67611791598686,32.676035885943676,45.14337049369365,21.784107296343574,21.784023204637926,32.729711860028445,21.78406577900889,21.784023204637926,32.90127278468502,21.78406635279238,21.784023204637926,33.185529530528086,21.78406730348571,21.784023204637926,56.7120297535471,27.230153167452652,27.23003038450275,59.52271366400193,27.230162567751794,27.23003038450275,54.471989010015754,27.230145675662843,27.23003038450275,54.62186510374341,27.23014617692167,27.23003038450275,33.31632067496765,21.784067740915145,21.784023204637926,33.02032446783831,54.46010455510174,54.46006100878035,55.471222239407,27.23014901758658,27.23003038450275,54.84187622930742,54.460177537023874,54.46006100878035,86.04038866238005,0.0,0.0,54.34724741594074,0.0,0.0,33.01010222245386,0.0,0.0,437.80449435542783,1.0,437.80449435542783,1.0,0,0,0
2,2021-11-20 17:49:51.270308,4.153584262953813,3.3973030859032773,86.04960829891105,27.230251286637593,27.23003038450275,59.61240809258745,10.892144205437386,10.892011722206384,57.58269192573179,10.89213741707564,10.892011722206384,56.017992530592494,32.67615634769429,32.676035885943676,45.0459738022287,32.67611965190724,32.676035885943676,44.83795259067569,32.67611895618276,32.676035885943676,44.78859291390809,32.6761187910999,32.676035885943676,45.38964166803469,21.78410811999461,21.784023204637926,32.92642438654632,21.784066436911615,21.784023204637926,33.07018270341365,21.784066917709605,21.784023204637926,33.350437185395634,21.784067855017412,21.784023204637926,56.88876853988669,27.230153758553435,27.23003038450275,59.86231813548052,27.230163703554936,27.23003038450275,55.03038553370785,27.230147543213423,27.23003038450275,55.031864453754764,27.23014754815965,27.23003038450275,33.682449474145294,21.784068965428588,21.784023204637926,33.17742148732491,54.46010508051087,54.46006100878035,55.79145724645839,27.230150088608777,27.23003038450275,55.254728034049684,54.460178917801855,54.46006100878035,86.0602763456489,0.0,0.0,54.92871279690826,0.0,0.0,33.160844523171946,0.0,0.0,434.10196197767806,1.0,434.10196197767806,1.0,0,0,0
3,2021-11-20 17:50:09.106935,4.628184365613519,3.6230763533846004,86.07001391537588,27.230251354883933,27.23003038450275,59.95499643397749,10.892145351220048,10.892011722206384,57.94346274059043,10.89213862366937,10.892011722206384,56.39488940585851,32.67615760822144,32.676035885943676,45.383939898281916,32.67612078223086,32.676035885943676,45.16143954707664,32.676120038081066,32.676035885943676,45.10894248535282,32.67611986250526,32.676035885943676,45.70026104877,21.78410915885746,21.784023204637926,33.17083061243674,21.78406725432535,21.784023204637926,33.28400765620722,21.784067632844636,21.784023204637926,33.558205119795055,21.784068549894815,21.784023204637926,57.10042292738328,27.23015446642904,27.23003038450275,60.196094995292476,27.230164819867706,27.23003038450275,55.535016021607525,27.23014923094413,27.23003038450275,55.47438870713245,27.230149028176793,27.23003038450275,34.0588894320823,21.784070224427584,21.784023204637926,33.3781360081996,54.46010575179822,54.46006100878035,56.12875061611636,27.230151216682465,27.23003038450275,55.674018749607974,54.46018032011471,54.46006100878035,86.08051114225037,0.0,0.0,55.44944002294049,0.0,0.0,33.356519253450756,0.0,0.0,430.33480677104995,1.0,430.33480677104995,1.0,0,0,0
4,2021-11-20 17:50:29.254907,4.938915951451284,3.788925796607191,81.48775255514661,27.23023602956494,27.23003038450275,59.128537760947225,10.892142587138778,10.892011722206384,57.47320387640217,10.892137050894153,10.892011722206384,56.23829368542173,32.6761570844889,32.676035885943676,45.40643645453155,32.67612085747032,32.676035885943676,45.24786032066281,32.67612032711432,32.676035885943676,45.20945082307534,32.6761201986542,32.676035885943676,45.84757586594233,21.784109651550125,21.784023204637926,33.34393484827938,21.784067833270424,21.784023204637926,33.46828121953221,21.784068249145392,21.784023204637926,33.67543534843874,21.78406894196993,21.784023204637926,56.7366093458383,27.23015324965881,27.23003038450275,59.32612129311052,27.230161910250935,27.23003038450275,55.96263129476764,27.23015066109836,27.23003038450275,55.666606371075446,27.230149671046494,27.23003038450275,34.20159469390383,21.784070701703648,21.784023204637926,33.59440813409162,54.46010647511778,54.46006100878035,56.09772457282341,27.23015111291623,27.23003038450275,55.88161970840983,54.46018101443366,54.46006100878035,81.49601269998297,0.0,0.0,55.9235749292685,0.0,0.0,33.58219845022327,0.0,0.0,0.0,0.0,756.1956788343871,1.0,0,0,0
5,2021-11-20 17:50:42.924421,5.231021033994513,3.9643098818851388,81.55047720979769,27.2302362393468,27.23003038450275,59.34876983417488,10.892143323702346,10.892011722206384,57.69767362977995,10.892137801630591,10.892011722206384,56.46646638020046,32.67615784760978,32.676035885943676,45.620021442326774,32.676121571802796,32.676035885943676,45.456505768176925,32.67612102492655,32.676035885943676,45.41698519950613,32.676120892750475,32.676035885943676,46.05109486984963,21.78411033221703,21.784023204637926,33.5251853386109,21.784068439460547,21.784023204637926,33.63983536861873,21.784068822906217,21.784023204637926,33.844436264255926,21.784069507191496,21.784023204637926,56.90520887382337,27.23015381353794,27.23003038450275,59.54333405671371,27.230162636716454,27.23003038450275,56.26909571591758,27.230151686064996,27.23003038450275,55.91217151241661,27.230150492336215,27.23003038450275,34.425042762263615,21.78407144902307,21.784023204637926,33.7616025352237,54.46010703429748,54.46006100878035,56.31634222855453,27.230151844080403,27.23003038450275,56.13407179504201,54.46018185875668,54.46006100878035,81.55865169623338,0.0,0.0,56.234264265950955,0.0,0.0,33.74806120986081,0.0,0.0,0.0,0.0,751.9512888527782,1.0,1,0,0
6,2021-11-20 17:50:52.181806,5.507778231421425,4.146195110159807,81.61151039269942,27.23023644347156,27.23003038450275,59.55993307604849,10.892144029935313,10.892011722206384,57.91443698261631,10.892138526593063,10.892011722206384,56.68812202318074,32.67615858893446,32.676035885943676,45.832049935274355,32.67612228092958,32.676035885943676,45.665247017455506,32.6761217230592,32.676035885943676,45.62498922132968,32.67612158841747,32.676035885943676,46.25646966311364,21.7841110190906,21.784023204637926,33.712265236340805,21.784069065147055,21.784023204637926,33.819431035945826,21.784069423561803,21.784023204637926,34.021602719509886,21.784070099722612,21.784023204637926,57.0787901751797,27.23015439407855,27.23003038450275,59.75147897446635,27.230163332854673,27.23003038450275,56.55785439089959,27.230152651814976,27.23003038450275,56.14877055965897,27.230151283638932,27.23003038450275,34.643739029163804,21.784072180450153,21.784023204637926,33.93794040141268,54.46010762405739,54.46006100878035,56.53046530049678,27.23015256021249,27.23003038450275,56.373733148765986,54.46018266030125,54.46006100878035,81.61960192459375,0.0,0.0,56.52633621574603,0.0,0.0,33.923454738514124,0.0,0.0,0.0,0.0,747.8213290176076,1.0,1,0,0
7,2021-11-20 17:51:08.267392,6.110517092097441,4.686540170990834,82.16388603917702,9.021018922491391,9.020811016108752,60.836248702730956,3.6084608398155336,3.6083242634640653,59.604177711558215,3.608456719168656,3.6083242634640653,58.498692928669264,10.825101787115047,10.824973028691256,48.40477099278148,10.825068028112351,10.824973028691256,47.94710056759554,10.82506649743902,10.824973028691256,47.89890827562432,10.82506633626047,10.824973028691256,47.91936815396297,7.216741823492145,7.216648447495111,34.692030342083434,7.216697584817062,7.216648447495111,34.443144274543194,7.216696752420549,7.216648447495111,34.792250905040746,7.2166979200035515,7.216648447495111,58.09857266955258,9.020938436335063,9.020811016108752,60.967752039198324,9.020948032271576,9.020811016108752,56.93733783026763,9.02093455259886,9.020811016108752,57.33631292363602,9.020935886966345,9.020811016108752,35.935260023028704,7.216701742784046,7.216648447495111,34.21510137982138,18.041669653889198,18.041622111650526,57.792961076588256,9.0209374142207,9.020811016108752,57.589076963947,18.041747827874467,18.041622111650526,82.17124452487474,0.0,0.0,56.80411050467734,0.0,0.0,34.10628329104754,0.0,0.0,0.0,0.0,710.4422765707632,1.0,1,0,0
8,2021-11-20 17:51:20.813023,6.696273418842414,5.223097822993319,82.30716685105548,9.021019401692376,9.020811016108752,61.298211970537665,3.6084623848462267,3.6083242634640653,60.09105058727856,3.6084583475092384,3.6083242634640653,59.00925687017472,10.825103494690119,10.824973028691256,48.929170924013945,10.825069781961728,10.824973028691256,48.481372549138904,10.82506828430535,10.824973028691256,48.434276650600346,10.825068126793674,10.824973028691256,48.45548672656899,7.21674361653438,7.216648447495111,35.227454543469584,7.21669937553698,7.216648447495111,34.97832060826512,7.216698542311476,7.216648447495111,35.31895899795826,7.216699681572547,7.216648447495111,58.587773446295934,9.020940072461283,9.020811016108752,61.42525598172882,9.02094956238811,9.020811016108752,57.533139600315685,9.02093654525084,9.020811016108752,57.881369745820166,9.02093770990245,9.020811016108752,36.47113675549866,7.216703535017449,7.216648447495111,34.754023997309076,18.041671456309526,18.041622111650526,58.31215714977587,9.020939150665834,9.020811016108752,58.12648852456021,18.041749625241085,18.041622111650526,82.3143404250248,0.0,0.0,57.406780681287735,0.0,0.0,34.64661426828112,0.0,0.0,0.0,0.0,700.7461632649521,1.0,1,0,0
9,2021-11-20 17:51:33.788920,7.265867120721936,5.75527264059219,82.4488969408436,9.021019875706987,9.020811016108752,61.75035117398794,3.608463897020453,3.6083242634640653,60.56814146583359,3.6084599431340467,3.6083242634640653,59.510065073623025,10.82510516963724,10.824973028691256,49.44423679290429,10.825071504593444,10.824973028691256,49.006577047316725,10.825070040845594,10.824973028691256,48.9605816997237,10.825069887014696,10.824973028691256,48.98256479253427,7.216745379340745,7.216648447495111,35.75712294920523,7.216701147006708,7.216648447495111,35.50891366618833,7.216700316873691,7.216648447495111,35.8411905821571,7.2167014281699124,7.216648447495111,59.07193901145992,9.020941691747296,9.020811016108752,61.87318681914579,9.020951060487503,9.020811016108752,58.11245095731568,9.020938482750832,9.020811016108752,58.41611622877137,9.020939498355746,9.020811016108752,36.997574848770405,7.216705295683434,7.216648447495111,35.2889462262845,18.041673245350605,18.041622111650526,58.822770419103456,9.020940858405883,9.020811016108752,58.65344304753602,18.041751387634264,18.041622111650526,82.45588973378224,0.0,0.0,57.99247319645105,0.0,0.0,35.18315572797641,0.0,0.0,0.0,0.0,691.1548462905845,1.0,1,0,0
10,2021-11-20 17:51:47.889887,7.820059770530034,6.282527949465454,82.58907351133136,9.021020344525871,9.020811016108752,62.19290303040034,3.608465377129909,3.6083242634640653,61.03561090783,3.6084615065800745,3.6083242634640653,60.00120525135628,10.825106812249762,10.824973028691256,49.94999207785111,10.82507319608602,10.824973028691256,49.52268811436588,10.825071766972961,10.824973028691256,49.47778841573092,10.825071616806449,10.824973028691256,49.50056241820015,7.216747111777687,7.216648447495111,36.28066244555027,7.216702897978369,7.216648447495111,36.03442959438641,7.216702074455506,7.216648447495111,36.35844879567099,7.216703158133898,7.216648447495111,59.550673042499504,9.02094329286761,9.020811016108752,62.31176548514994,9.020952527308673,9.020811016108752,58.67604660976238,9.020940367689835,9.020811016108752,58.94057066141867,9.020941252387402,9.020811016108752,37.51461449559079,7.216707024916427,7.216648447495111,35.819298986809734,18.041675019109146,18.041622111650526,59.32476432197979,9.020942537318563,9.020811016108752,59.1700633714173,18.041753115464832,18.041622111650526,82.59588959225646,0.0,0.0,58.562007511702525,0.0,0.0,35.71531250540623,0.0,0.0,0.0,0.0,681.6685193647944,1.0,0,0,0
